Customer ID,Customer_name,Gender,Age,Married,Education,Self_Employed,Loan_Id,Region_id
IP43122,Barry Blumstein,Female,23,No,Graduate,No,LP001430,13.2
IP43123,Andrew Gjertsen,Female,60,No,Graduate,No,LP001431,13.4
IP43124,Jas O'Carroll,Male,31,Yes,Graduate,No,LP001432,13.2
IP43125,Alan Haines,Male,46,Yes,Not Graduate,No,LP001439,13.2
IP43126,Nick Zandusky,Female,66,No,Graduate,No,LP001443,13.4
IP43127,Kelly Lampkin,Male,48,Yes,Graduate,No,LP001448,13.2
IP43128,Alan Schoenberger,Male,21,No,Graduate,No,LP001449,13.4
IP43129,Corey Roper,Male,69,Yes,Graduate,Yes,LP001451,13.4
IP43130,Shahid Hopkins,Male,38,Yes,Graduate,No,LP001465,13.2
IP43131,Ben Peterman,Male,21,No,Graduate,Yes,LP001469,13.2
IP43132,Thomas Seio,Male,34,No,Graduate,No,LP001473,13.4
IP43133,Andy Gerbode,Male,32,No,Graduate,No,LP001478,13.2
IP43134,Sung Pak,Male,67,Yes,Graduate,Yes,LP001482,13.4
IP43135,Nathan Mautz,Male,59,No,Graduate,No,LP001487,13.4
IP43136,Frank Atkinson,Male,70,Yes,Graduate,No,LP001488,13.2
IP43137,Grace Kelly,Female,19,Yes,Graduate,No,LP001489,13.2
IP43138,Don Jones,Male,69,Yes,Graduate,Yes,LP001491,13.2
IP43139,Patrick O'Brill,Male,42,No,Graduate,No,LP001492,13.4
IP43140,John Lucas,Male,19,Yes,Not Graduate,No,LP001493,13.4
IP43141,Doug Bickford,Male,25,Yes,Graduate,No,LP001497,13.2
IP43142,Alyssa Crouse,Male,48,No,Graduate,No,LP001498,13.2
IP43143,Clay Cheatham,Male,27,No,Graduate,Yes,LP001504,13.2
IP43144,Tamara Dahlen,Male,48,Yes,Graduate,No,LP001507,13.4
IP43145,Adam Bellavance,Male,70,Yes,Graduate,No,LP001508,13.4
IP43146,Jeremy Lonsdale,Female,20,Yes,Graduate,No,LP001514,13.4
IP43147,Victoria Brennan,Female,53,Yes,Graduate,No,LP001516,13.2
IP43148,Katrina Willman,Male,56,Yes,Graduate,No,LP001518,13.4
IP43149,Julia Dunbar,Female,59,No,Graduate,No,LP001519,13.2
IP43150,Michael Kennedy,Male,66,Yes,Graduate,No,LP001520,13.4
IP43151,Guy Thornton,Male,47,No,Graduate,No,LP001528,13.3
IP43152,Arthur Gainer,Male,53,Yes,Graduate,Yes,LP001529,13.2
IP43153,Muhammed MacIntyre,Male,59,No,Graduate,No,LP001531,13.3
IP43154,Allen Rosenblatt,Male,25,Yes,Not Graduate,No,LP001532,13.4
IP43155,Russell Applegate,Male,36,No,Graduate,No,LP001535,13.3
IP43156,Alejandro Savely,Male,50,Yes,Graduate,No,LP001536,13.2
IP43157,Laura Armstrong,Male,66,Yes,Graduate,No,LP001541,13.3
IP43158,Denny Ordway,Male,63,Yes,Graduate,No,LP001543,13.2
IP43159,Dean Katz,Male,30,No,Graduate,Null,LP001546,13.4
IP43160,Nathan Gelder,Male,35,Yes,Graduate,No,LP001552,13.4
IP43161,Mike Vittorini,Male,33,Yes,Not Graduate,No,LP001560,13.4
IP43162,Jack Garza,Male,69,Yes,Graduate,No,LP001562,13.2
IP43163,Bart Pistole,Male,36,Yes,Graduate,No,LP001565,13.3
IP43164,Victor Preis,Male,57,Yes,Graduate,No,LP001570,13.2
IP43165,Saphhira Shifley,Male,27,Yes,Graduate,No,LP001572,13.4
IP43166,Anna Gayman,Male,31,Yes,Graduate,No,LP001574,13.3
IP43167,Luke Foster,Female,64,Yes,Graduate,No,LP001577,13.2
IP43168,Roy Franzosisch,Male,30,Yes,Graduate,No,LP001578,13.4
IP43169,Keith Herrera,Male,18,No,Graduate,No,LP001579,13.2
IP43170,Kimberly Carter,Male,23,Yes,Graduate,No,LP001580,13.2
IP43171,Caroline Jumper,Male,70,Yes,Not Graduate,Null,LP001581,13.2
IP43172,Philip Brown,Male,34,Yes,Graduate,No,LP001585,13.2
IP43173,Michael Paige,Male,60,Yes,Not Graduate,No,LP001586,13.4
IP43174,Natalie Fritzler,Male,22,Yes,Graduate,No,LP001594,13.2
IP43175,Shirley Daniels,Male,46,Yes,Not Graduate,Yes,LP001603,13.4
IP43176,Ken Heidel,Male,60,Yes,Graduate,No,LP001606,13.3
IP43177,Ross Baird,Male,50,Yes,Graduate,No,LP001608,13.2
IP43178,Mike Kennedy,Male,70,Yes,Graduate,No,LP001610,13.2
IP43179,Philisse Overcash,Male,41,Yes,Graduate,No,LP001616,13.3
IP43180,Brenda Bowman,Male,27,No,Not Graduate,No,LP001630,13.3
IP43181,Troy Blackwell,Male,37,Yes,Graduate,No,LP001633,13.3
IP43182,Raymond Buch,Male,26,No,Graduate,No,LP001634,13.4
IP43183,Ed Braxton,Male,51,Yes,Graduate,No,LP001636,13.4
IP43184,Sanjit Chand,Male,54,Yes,Graduate,No,LP001637,13.2
IP43185,Tanja Norvell,Female,30,Yes,Graduate,No,LP001639,13.2
IP43186,Joni Sundaresam,Male,26,Yes,Graduate,Yes,LP001640,13.3
IP43187,Maya Herman,Male,32,Yes,Graduate,Yes,LP001641,13.4
IP43188,Jeremy Pistek,Male,48,Yes,Graduate,No,LP001643,13.2
IP43189,Jeremy Ellison,Male,69,Yes,Graduate,Yes,LP001644,13.4
IP43190,John Grady,Male,34,Yes,Graduate,No,LP001647,13.4
IP43191,Xylona Preis,Male,31,No,Not Graduate,No,LP001653,13.2
IP43192,Erin Mull,Male,30,No,Graduate,No,LP001656,13.4
IP43193,Michelle Tran,Male,51,Yes,Not Graduate,No,LP001657,13.2
IP43194,Sue Ann Reed,Male,25,No,Graduate,No,LP001658,13.3
IP43195,Carl Weiss,Male,31,No,Graduate,No,LP001664,13.3
IP43196,Astrea Jones,Male,70,Yes,Graduate,No,LP001665,13.4
IP43197,Sonia Sunley,Male,19,No,Graduate,No,LP001666,13.2
IP43198,Rose O'Brian,Female,59,No,Not Graduate,No,LP001669,13.2
IP43199,Maribeth Dona,Female,63,Yes,Graduate,No,LP001671,13.2
IP43200,Maribeth Yedwab,Male,41,No,Graduate,Yes,LP001673,13.2
IP43201,Christopher Martinez,Male,49,Yes,Not Graduate,No,LP001674,13.2
IP43202,Lynn Smith,Male,40,No,Graduate,No,LP001677,13.3
IP43203,Bradley Nguyen,Male,55,Yes,Not Graduate,No,LP001682,13.2
IP43204,Dean Braden,Male,51,Yes,Not Graduate,No,LP001688,13.3
IP43205,Matt Connell,Male,42,Yes,Not Graduate,No,LP001691,13.3
IP43206,Brian Dahlen,Female,39,No,Not Graduate,No,LP001692,13.4
IP43207,Patricia Hirasaki,Female,53,No,Graduate,No,LP001693,13.2
IP43208,Mike Gockenbach,Male,22,No,Not Graduate,No,LP001698,13.4
IP43209,Karen Bern,Male,38,No,Graduate,No,LP001699,13.2
IP43210,Jasper Cacioppo,Male,58,No,Graduate,No,LP001702,13.2
IP43211,Rob Lucas,Female,47,No,Graduate,No,LP001708,13.2
IP43212,Allen Armold,Male,32,Yes,Graduate,No,LP001711,13.2
IP43213,Emily Phan,Male,65,Yes,Graduate,Yes,LP001713,13.3
IP43214,Darren Koutras,Male,68,Yes,Not Graduate,Yes,LP001715,13.2
IP43215,Bradley Drucker,Male,67,Yes,Graduate,No,LP001716,13.3
IP43216,Liz MacKendrick,Male,62,Yes,Not Graduate,No,LP001720,13.4
IP43217,Adrian Shami,Male,39,Yes,Graduate,No,LP001722,13.4
IP43218,Bill Donatelli,Male,22,Yes,Graduate,No,LP001726,13.2
IP43219,Greg Tran,Male,57,Yes,Graduate,Null,LP001732,13.3
IP43220,Ashley Jarboe,Female,38,Yes,Graduate,No,LP001734,13.2
IP43221,Olvera Toch,Male,20,Yes,Graduate,No,LP001736,13.2
IP43222,Liz Pelletier,Male,25,Yes,Graduate,No,LP001743,13.2
IP43223,Cynthia Arntzen,Male,40,No,Graduate,No,LP001744,13.2
IP43224,Jeremy Farry,Male,38,Yes,Graduate,No,LP001749,13.2
IP43225,Frank Preis,Male,41,Yes,Graduate,No,LP001750,13.2
IP43226,Ellis Ballard,Male,18,Yes,Graduate,No,LP001751,13.2
IP43227,Jennifer Ferguson,Male,21,Yes,Not Graduate,Yes,LP001754,13.4
IP43228,Sarah Foster,Male,60,Yes,Graduate,No,LP001758,13.2
IP43229,Trudy Glocke,Male,36,,Graduate,No,LP001760,13.2
IP43230,Carlos Soltero,Male,61,No,Graduate,Yes,LP001761,13.3
IP43231,Charles Crestani,Male,61,Yes,Graduate,No,LP001765,13.2
IP43232,Dianna Vittorini,Male,35,Yes,Graduate,Null,LP001768,13.2
IP43233,Bruce Degenhardt,Male,64,No,Not Graduate,No,LP001770,13.2
IP43234,Zuschuss Carroll,Female,61,No,Graduate,No,LP001776,13.2
IP43235,Melanie Seite,Male,68,Yes,Graduate,No,LP001778,13.3
IP43236,Lena Radford,Male,58,Yes,Graduate,No,LP001784,13.2
IP43237,Theone Pippenger,Male,42,Yes,Graduate,Null,LP001786,13.4
IP43238,Chloris Kastensmidt,Female,62,No,Graduate,Yes,LP001788,13.4
IP43239,Alan Shonely,Female,60,No,Graduate,No,LP001790,13.2
IP43240,Andrew Roberts,Male,57,Yes,Graduate,No,LP001792,13.4
IP43241,Nona Balk,Male,49,Yes,Graduate,No,LP001798,13.3
IP43242,Giulietta Dortch,Male,64,Yes,Not Graduate,No,LP001800,13.4
IP43243,Clytie Kelty,Male,22,No,Graduate,No,LP001806,13.4
IP43244,Nat Gilpin,Male,30,Yes,Graduate,Yes,LP001807,13.4
IP43245,Christina Anderson,Male,30,Yes,Not Graduate,No,LP001811,13.3
IP43246,Sylvia Foulston,Male,21,No,Graduate,Yes,LP001813,13.3
IP43247,Meg O'Connel,Male,50,Yes,Graduate,No,LP001814,13.4
IP43248,Annie Thurman,Male,37,Yes,Not Graduate,No,LP001819,13.2
IP43249,Fred McMath,Male,57,Yes,Graduate,No,LP001824,13.2
IP43250,Denny Joy,Male,30,Yes,Graduate,No,LP001825,13.2
IP43251,Max Engle,Male,66,Yes,Not Graduate,No,LP001835,13.2
IP43252,Justin Deggeller,Female,39,No,Graduate,No,LP001836,13.3
IP43253,John Lee,Male,19,No,Not Graduate,Yes,LP001841,13.2
IP43254,Sean Christensen,Male,25,Yes,Not Graduate,No,LP001843,13.3
IP43255,Chuck Clark,Male,41,No,Graduate,Yes,LP001844,13.3
IP43256,Anthony Rawles,Female,68,No,Graduate,No,LP001846,13.2
IP43257,Steven Roelle,Male,28,No,Not Graduate,No,LP001849,13.4
IP43258,Craig Reiter,Male,44,Yes,Graduate,No,LP001854,13.4
IP43259,Eugene Hildebrand,Male,57,Yes,Graduate,No,LP001859,13.3
IP43260,Sibella Parks,Male,61,Yes,Not Graduate,No,LP001864,13.4
IP43261,Tiffany House,Male,41,Yes,Graduate,No,LP001865,13.3
IP43262,Resi Polking,Male,19,No,Graduate,No,LP001868,13.4
IP43263,Rob Beeghly,Female,50,No,Graduate,No,LP001870,13.3
IP43264,Carol Darley,Female,45,No,Graduate,No,LP001871,13.3
IP43265,Doug Jacobs,Male,70,No,Graduate,Yes,LP001872,13.4
IP43266,Grant Thornton,Male,22,No,Graduate,No,LP001875,13.2
IP43267,Michael Chen,Male,58,Yes,Graduate,No,LP001877,13.2
IP43268,Ralph Arnett,Male,27,Yes,Graduate,No,LP001882,13.4
IP43269,Naresj Patel,Female,20,No,Graduate,Null,LP001883,13.2
IP43270,Alan Barnes,Female,50,No,Graduate,No,LP001884,13.2
IP43271,Jesus Ocampo,Female,48,No,Graduate,No,LP001888,13.4
IP43272,Jay Kimmel,Male,61,Yes,Graduate,No,LP001891,13.2
IP43273,Brad Norvell,Male,45,No,Graduate,No,LP001892,13.2
IP43274,David Philippe,Male,22,Yes,Graduate,No,LP001894,13.4
IP43275,Tracy Hopkins,Male,53,Yes,Graduate,No,LP001896,13.4
IP43276,Arthur Prichep,Male,35,Yes,Graduate,No,LP001900,13.2
IP43277,Roland Schwarz,Male,37,Yes,Graduate,No,LP001903,13.4
IP43278,Seth Vernon,Male,46,Yes,Graduate,No,LP001904,13.4
IP43279,Christine Kargatis,Male,70,Yes,Graduate,No,LP001907,13.2
IP43280,Ross DeVincentis,Female,60,Yes,Not Graduate,No,LP001908,13.2
IP43281,Mathew Reese,Male,62,No,Not Graduate,Yes,LP001910,13.4
IP43282,Steve Chapman,Male,45,Yes,Graduate,No,LP001914,13.2
IP43283,Jay Fein,Male,18,Yes,Graduate,No,LP001915,13.3
IP43284,Emily Grady,Female,32,No,Graduate,No,LP001917,13.4
IP43285,Darrin Sayre,Male,38,Yes,Graduate,No,LP001922,13.2
IP43286,Phillina Ober,Male,42,No,Graduate,No,LP001924,13.3
IP43287,Sung Shariari,Female,48,No,Graduate,Yes,LP001925,13.3
IP43288,Peter Buhler,Male,38,Yes,Graduate,No,LP001926,13.3
IP43289,Roland Fjeld,Female,67,No,Graduate,No,LP001931,13.3
IP43290,Yoseph Carroll,Male,60,No,Graduate,No,LP001935,13.2
IP43291,Debra Catini,Male,59,Yes,Graduate,No,LP001936,13.3
IP43292,Christine Phan,Male,27,Yes,Graduate,No,LP001938,13.4
IP43293,Barry Franzosisch,Male,46,Yes,Graduate,No,LP001940,13.3
IP43294,Lisa Hazard,Female,26,No,Graduate,No,LP001945,13.4
IP43295,Chris Selesnick,Male,31,Yes,Graduate,No,LP001947,13.2
IP43296,Anthony Johnson,Male,51,Yes,Graduate,Null,LP001949,13.2
IP43297,Benjamin Venier,Male,69,Yes,Graduate,No,LP001953,13.3
IP43298,Dan Lawera,Female,47,Yes,Graduate,No,LP001954,13.4
IP43299,Bryan Mills,Female,19,No,Graduate,No,LP001955,13.4
IP43300,Liz Thompson,Male,51,Yes,Graduate,No,LP001963,13.2
IP43301,Joe Kamberova,Male,55,Yes,Not Graduate,No,LP001964,13.2
IP43302,Erica Smith,Male,59,Yes,Not Graduate,No,LP001972,13.2
IP43303,Rick Hansen,Female,19,No,Graduate,No,LP001974,13.3
IP43304,Carlos Daly,Male,48,Yes,Graduate,No,LP001977,13.2
IP43305,Helen Wasserman,Male,50,No,Graduate,No,LP001978,13.2
IP43306,Mike Caudle,Male,45,No,Not Graduate,No,LP001990,13.2
IP43307,Gary McGarr,Female,38,No,Graduate,No,LP001993,13.2
IP43308,Pauline Johnson,Female,25,No,Graduate,No,LP001994,13.2
IP43309,Bart Watters,Male,48,No,Graduate,No,LP001996,13.3
IP43310,Toby Ritter,Male,56,Yes,Not Graduate,No,LP001998,13.4
IP43311,Patrick Gardner,Female,40,No,Graduate,No,LP002002,13.2
IP43312,James Lanier,Male,32,No,Not Graduate,No,LP002004,13.2
IP43313,Brian Moss,Female,18,No,Graduate,No,LP002006,13.4
IP43314,Eudokia Martin,Male,66,Yes,Graduate,Yes,LP002008,13.2
IP43315,Art Foster,Female,37,Yes,Graduate,No,LP002024,13.2
IP43316,Guy Armstrong,Male,38,Yes,Not Graduate,No,LP002031,13.4
IP43317,Cyma Kinney,Male,27,Yes,Graduate,No,LP002035,13.4
IP43318,Dave Poirier,Male,47,Yes,Graduate,No,LP002036,13.2
IP43319,Berenike Kampe,Female,21,No,Graduate,No,LP002043,13.4
IP43320,Sanjit Jacobs,Male,28,Yes,Graduate,Yes,LP002050,13.4
IP43321,Chuck Magee,Male,42,Yes,Graduate,No,LP002051,13.2
IP43322,Anthony Jacobs,Male,51,Yes,Graduate,No,LP002053,13.2
IP43323,Linda Southworth,Male,40,Yes,Not Graduate,No,LP002054,13.4
IP43324,Guy Phonely,Female,65,No,Graduate,No,LP002055,13.4
IP43325,Paul Knutson,Male,29,Yes,Graduate,No,LP002065,13.4
IP43326,Sally Matthias,Male,65,Yes,Graduate,Yes,LP002067,13.4
IP43327,Anthony Garverick,Male,42,No,Graduate,No,LP002068,13.4
IP43328,Peter McVee,Male,25,Yes,Graduate,Yes,LP002082,13.3
IP43329,Lauren Leatherbury,Female,65,Yes,Graduate,No,LP002086,13.4
IP43330,Jill Stevenson,Female,55,No,Graduate,No,LP002087,13.2
IP43331,Ed Ludwig,Male,41,No,Graduate,No,LP002097,13.4
IP43332,Pamela Coakley,Male,68,No,Graduate,No,LP002098,13.2
IP43333,Hunter Lopez,Male,20,No,Graduate,No,LP002100,13.3
IP43334,Maribeth Schnelling,Male,38,Yes,Graduate,Null,LP002101,13.3
IP43335,George Bell,Female,23,Yes,Graduate,Yes,LP002103,13.4
IP43336,Justin Ritter,Male,28,Yes,Graduate,Yes,LP002106,13.4
IP43337,Bill Eplett,Male,21,Yes,Graduate,Null,LP002110,13.3
IP43338,Sample Company A,Male,36,Yes,Graduate,Yes,LP002112,13.4
IP43339,Rob Williams,Female,59,No,Not Graduate,No,LP002113,13.3
IP43340,Sanjit Engle,Female,29,No,Graduate,No,LP002114,13.4
IP43341,Adam Hart,Male,27,Yes,Not Graduate,No,LP002115,13.4
IP43342,Jessica Myrick,Female,47,No,Graduate,No,LP002116,13.4
IP43343,Joel Jenkins,Male,23,Yes,Not Graduate,No,LP002119,13.2
IP43344,Ralph Kennedy,Male,69,Yes,Not Graduate,No,LP002126,13.4
IP43345,Catherine Glotzbach,Male,67,Yes,Graduate,Null,LP002128,13.4
IP43346,Rachel Payne,Male,35,Yes,Graduate,No,LP002129,13.2
IP43347,Karen Carlisle,Male,56,Yes,Not Graduate,No,LP002130,13.2
IP43348,Katherine Hughes,Male,23,Yes,Not Graduate,No,LP002131,13.4
IP43349,Greg Hansen,Male,58,Yes,Graduate,No,LP002137,13.3
IP43350,Scott Williamson,Male,29,Yes,Graduate,No,LP002138,13.2
IP43351,Joseph Airdo,Male,53,Yes,Graduate,No,LP002139,13.2
IP43352,Daniel Lacy,Male,29,No,Graduate,No,LP002140,13.2
IP43353,Lindsay Williams,Male,65,Yes,Graduate,No,LP002141,13.2
IP43354,Thomas Brumley,Female,54,Yes,Graduate,Yes,LP002142,13.2
IP43355,Bryan Spruell,Female,67,Yes,Graduate,No,LP002143,13.4
IP43356,Robert Waldorf,Female,55,No,Graduate,No,LP002144,13.2
IP43357,Tracy Zic,Male,30,Yes,Graduate,No,LP002149,13.2
IP43358,Ann Steele,Male,60,Yes,Graduate,No,LP002151,13.3
IP43359,Toby Swindell,Male,39,Yes,Not Graduate,No,LP002158,13.3
IP43360,Sara Luxemburg,Male,58,Yes,Graduate,No,LP002160,13.2
